4.95,6.05
5.32,1.8
1.58,9.38
5.81,2.18
7.64,2.76
0.68,2.06
4.58,5.46
7.93,2.3
0.36,8.37
3.01,0.76
2.28,4.27
0.19,8.35
8.13,1.21
0.24,7.69
1.9,1.09
3.69,9.58
6.1,2.08
8.7,0.45
7.41,3.66
3.18,3.07
3.66,3.5
1.47,9.23
0.84,6.67
5.79,0.33
3.16,7.3
4.66,7.14
6.83,2.68
9.57,4.62
9.24,0.82
1.84,7.78
3.69,3.3
6.81,3.25
4.06,2.82
9.49,0.5
0.81,7.44
4.51,9.01
1.77,4.74
5.12,6.45
9.94,4.95
6.77,0.29
4.2,3.78
8.87,8.89
2.19,7.19
6.6,6.38
7.09,0.39
5.63,9.93
0.15,8.79
3.86,2.69
6.39,9.56
2.05,6.84
6.31,3.56
6.3,9.32
2.16,2.39
4.11,7.74
9.92,7.39
8.54,7.08
1.47,8.58
8.15,0.09
6.19,9.14
0.18,9.48
1.49,5.58
5.59,8.94
8.64,8.18
4.83,3.35
6.6,3.19
1.29,4.8
4.66,2.74
8.18,2.86
9.51,3.59
5.81,0.91
0.46,6.34
5.77,8.8
6.61,0.07
9.34,3.48
6.0,4.93
7.34,9.47
5.79,5.77
1.84,5.51
1.75,2.42
8.1,8.31
1.04,2.99
4.31,2.36
5.11,2.3
9.18,7.38
9.18,3.91
8.41,9.6
9.27,9.26
9.78,7.12
7.81,0.32
3.34,7.3
6.34,6.91
1.73,0.79
5.47,9.06
3.97,3.03
4.0,1.99
2.08,9.98
0.3,5.64
2.13,3.63
5.8,1.54
5.96,3.58
2.72,1.41
0.78,4.35
4.48,8.0
2.27,7.58
6.39,7.6
8.04,2.33
0.91,3.37
2.25,9.36
4.59,4.46
5.45,9.6
7.42,8.18
8.63,0.72
7.49,3.5
9.89,5.44
9.33,5.87
6.46,2.3
2.85,8.27
8.0,1.03
4.02,7.05
7.17,9.96
1.18,3.78
6.86,0.1
1.31,9.43
9.31,6.33
9.93,4.88
1.71,7.85
3.32,7.57
5.93,2.51
9.92,7.26
6.83,1.16
5.06,7.72
4.67,5.99
0.99,9.34
4.41,3.13
5.12,2.12
5.68,2.02
9.7,8.24
7.04,2.44
5.76,0.62
0.38,1.82
0.07,5.55
7.97,9.26
8.72,2.61
3.12,3.39
1.27,3.4
7.42,9.16
7.66,6.75
4.9,0.36
8.29,6.31
4.1,0.21
8.42,5.31
1.96,1.95
3.8,7.35
6.17,1.54
1.44,5.9
5.35,3.17
0.29,9.37
5.27,7.97
4.48,4.86
9.74,5.71
0.93,1.02
8.35,7.22
2.86,6.74
1.96,5.71
9.31,0.47
7.18,8.86
2.24,6.04
4.31,8.67
0.1,2.26
4.1,6.52
8.16,4.19
5.16,2.49
4.54,2.89
4.96,1.4
9.26,8.13
4.04,3.06
3.55,7.12
8.02,4.73
6.64,7.75
2.78,6.21
7.28,9.97
7.78,5.5
4.73,9.22
1.23,4.05
7.03,8.53
2.92,7.85
9.67,6.84
4.25,8.93
7.73,1.86
3.23,0.54
6.7,0.72
8.05,1.65
5.86,9.91
3.67,6.65
7.49,3.01
3.53,3.03
1.99,3.99
4.25,3.61
6.11,9.54
7.25,3.05
6.24,7.56
6.05,7.19
4.76,3.82
6.89,2.99
9.9,7.62
1.67,3.32
0.85,1.35
0.62,4.45
1.93,3.21
9.29,7.75
5.79,6.42
0.38,0.26
4.07,8.72
1.39,9.75
8.35,1.7
9.76,3.63
0.41,9.19
6.06,7.41
0.24,5.9
0.81,3.09
9.68,3.51
4.02,6.67
2.65,1.61
7.73,1.34
8.85,8.07
9.65,9.73
5.99,1.17
1.89,1.34
1.52,0.95
8.74,1.83
6.52,3.54
3.27,0.47
7.84,8.09
6.53,8.6
4.26,7.66
0.88,8.76
2.85,6.15
7.83,5.3
4.98,4.07
3.11,4.66
2.18,8.44
5.33,9.55
0.16,0.57
0.76,7.48
3.58,6.81
7.14,7.95
8.66,9.14
8.89,1.15
7.87,7.38
4.88,9.31
1.26,5.63
8.56,4.22
4.96,3.13
9.36,1.73
5.24,1.74
9.0,1.04
2.09,0.84
0.21,8.08
3.42,4.56
5.29,7.18
1.79,8.42
0.95,6.66
3.79,1.07
0.04,0.11
5.9,9.83
6.38,5.7
5.22,4.19
8.34,2.75
5.21,4.25
7.06,6.89
0.92,0.95
8.0,4.06
0.32,0.08
0.61,3.31
5.32,1.38
7.35,5.58
9.04,4.77
4.76,0.78
4.5,6.18
1.28,3.43
2.71,3.9
4.28,3.37
2.16,3.87
7.88,1.92
8.06,9.54
1.94,4.15
2.81,0.37
0.04,5.09
1.13,5.54
0.36,4.38
4.84,4.22
5.37,7.12
1.16,7.51
1.01,8.06
0.69,7.84
0.73,5.39
0.67,5.64
2.04,7.23
4.02,5.32
4.42,7.38
0.63,2.81
7.86,5.48
1.38,2.74
8.52,0.82
7.51,6.1
3.79,3.72
5.27,9.13
2.25,8.88
9.98,6.93
4.38,4.53
3.59,1.57
10.0,6.7
1.91,7.94
4.17,9.71
3.09,1.73
4.02,4.12
7.76,9.55
3.35,5.47
0.43,5.18
8.72,2.5
6.09,5.2
2.22,6.68
0.66,2.93
8.74,7.35
3.08,3.1
6.18,4.51
2.0,9.81
4.7,3.62
3.97,5.7
9.41,4.16
7.67,2.02
5.16,1.8
8.08,6.35
1.91,7.47
4.32,4.14
9.06,8.61
9.07,0.94
9.76,5.69
9.22,0.0
8.1,0.69
9.61,5.67
9.03,1.31
0.98,3.16
4.4,5.28
7.79,8.0
8.62,6.7
2.95,2.21
5.17,2.73
3.59,3.16
2.95,3.79
1.03,1.17
1.04,5.88
8.34,6.87
6.3,2.7
3.7,3.97
6.05,9.03
9.63,8.11
3.62,1.81
6.01,1.13
4.32,9.8
9.6,8.28
2.77,3.31
3.61,5.76
4.75,6.31
0.08,3.69
1.93,6.51
2.33,5.91
3.13,0.9
7.57,9.88
8.29,3.2
1.16,8.26
6.97,9.28
5.09,6.21
7.5,8.21
0.85,5.9
3.52,5.43
7.54,6.54
8.24,7.92
3.69,0.49
9.16,4.09
8.86,4.51
5.47,8.23
7.05,2.71
3.66,3.49
1.17,0.58
8.61,4.92
7.01,0.63
0.57,1.51
7.3,1.79
2.43,6.92
0.87,0.68
9.88,9.44
3.8,8.53
2.84,6.59
2.72,6.84
2.36,8.46
9.83,1.57
2.0,1.93
9.36,3.63
4.07,9.97
5.2,0.23
2.0,2.69
5.55,0.9
4.44,3.33
2.61,3.99
3.05,2.16
8.18,0.89
5.2,2.26
5.57,2.8
4.78,2.93
3.29,3.51
3.33,3.91
8.83,8.62
4.57,6.05
5.87,6.09
9.42,5.02
9.29,1.3
3.6,4.01
7.3,6.1
9.53,8.6
8.96,7.6
9.77,0.86
9.43,3.44
5.59,3.37
5.8,7.9
3.6,0.87
6.9,0.45
4.96,4.44
7.46,4.58
6.68,8.74
2.62,2.87
0.21,0.76
8.45,0.19
3.35,7.92
0.18,1.71
5.16,2.65
7.59,6.58
5.38,9.54
5.55,6.1
1.97,3.12
7.15,5.14
0.62,1.07
3.62,8.72
9.61,6.48
4.89,1.97
7.65,7.64
6.69,1.74
5.1,2.2
4.02,0.37
1.73,3.2
4.23,5.69
7.45,6.63
