0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-1,0,66,106,234,119,246,200,108,122,74,141,45,64,164,53,132,63,144,158,85,202,131,24,66,209,103,182,154,92,94,136
-1,66,0,133,299,170,309,265,137,188,112,169,108,125,172,52,196,85,176,220,91,265,193,84,130,267,168,247,218,152,158,188
-1,106,133,0,226,66,222,226,5,157,36,37,124,142,66,81,129,50,44,139,47,243,189,88,96,161,117,184,153,164,146,79
-1,234,299,226,0,161,36,74,222,119,212,221,197,189,275,264,105,241,210,88,259,106,143,215,170,94,131,53,81,174,151,150
-1,119,170,66,161,0,158,167,62,109,60,66,112,123,119,122,69,92,58,74,104,188,147,95,70,101,68,121,91,135,110,19
-1,246,309,222,36,158,0,108,218,141,214,212,213,208,265,271,114,244,200,90,260,141,170,226,181,73,143,74,94,197,171,144
-1,200,265,226,74,167,108,0,223,79,202,233,157,144,286,242,99,226,224,102,248,34,82,188,145,144,111,55,78,121,107,165
-1,108,137,5,222,62,218,223,0,155,36,34,124,142,67,85,126,53,40,135,51,240,187,89,95,156,115,180,150,164,145,75
-1,122,188,157,119,109,141,79,155,0,129,172,81,71,221,164,50,150,165,75,173,87,42,110,68,136,42,68,52,57,32,113
-1,74,112,36,212,60,214,202,36,129,0,68,89,107,100,63,110,32,71,126,48,215,157,53,64,161,91,166,135,130,114,78
-1,141,169,37,221,66,212,233,34,172,68,0,153,169,55,117,135,86,13,137,81,253,208,120,119,144,131,185,157,189,167,71
-1,45,108,124,197,112,213,157,124,81,89,153,0,21,188,94,102,93,153,130,118,158,87,43,44,187,72,145,120,48,51,127
-1,64,125,142,189,123,208,144,142,71,107,169,21,0,207,114,101,113,168,129,138,141,69,63,54,189,73,137,115,29,39,137
-1,164,172,66,275,119,265,286,67,221,100,55,188,207,0,124,187,102,66,191,83,305,254,149,161,197,180,239,210,229,211,126
-1,53,52,81,264,122,271,242,85,164,63,117,94,114,124,0,160,33,124,181,42,247,179,55,98,222,135,214,184,142,139,140
-1,132,196,129,105,69,114,99,126,50,110,135,102,101,187,160,0,137,126,29,156,120,92,112,67,90,30,57,25,98,69,68
-1,63,85,50,241,92,244,226,53,150,32,86,93,113,102,33,137,0,93,155,25,236,172,51,82,192,116,193,162,140,129,110
-1,144,176,44,210,58,200,224,40,165,71,13,153,168,66,124,126,93,0,127,90,246,203,123,116,132,124,175,147,186,163,61
-1,158,220,139,88,74,90,102,135,75,126,137,130,129,191,181,29,155,127,0,172,129,116,137,93,62,58,50,28,126,97,66
-1,85,91,47,259,104,260,248,51,173,48,81,118,138,83,42,156,25,90,172,0,259,196,76,105,203,137,213,181,164,153,120
-1,202,265,243,106,188,141,34,240,87,215,253,158,141,305,247,120,236,246,129,259,0,73,193,154,176,126,86,103,115,109,188
-1,131,193,189,143,147,170,82,187,42,157,208,87,69,254,179,92,172,203,116,196,73,0,125,94,176,80,97,91,42,44,154
-1,24,84,88,215,95,226,188,89,110,53,120,43,63,149,55,112,51,123,137,76,193,125,0,46,187,85,164,135,90,84,113
-1,66,130,96,170,70,181,145,95,68,64,119,44,54,161,98,67,82,116,93,105,154,94,46,0,147,39,118,89,70,51,84
-1,209,267,161,94,101,73,144,156,136,161,144,187,189,197,222,90,192,132,62,203,176,176,187,147,0,117,91,86,188,158,84
-1,103,168,117,131,68,143,111,115,42,91,131,72,73,180,135,30,116,124,58,137,126,80,85,39,117,0,80,51,75,46,75
-1,182,247,184,53,121,74,55,180,68,166,185,145,137,239,214,57,193,175,50,213,86,97,164,118,91,80,0,32,123,99,115
-1,154,218,153,81,91,94,78,150,52,135,157,120,115,210,184,25,162,147,28,181,103,91,135,89,86,51,32,0,107,79,88
-1,92,152,164,174,135,197,121,164,57,130,189,48,29,229,142,98,140,186,126,164,115,42,90,70,188,75,123,107,0,30,146
-1,94,158,146,151,110,171,107,145,32,114,167,51,39,211,139,69,129,163,97,153,109,44,84,51,158,46,99,79,30,0,119
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
