0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-1,0,61,70,43,67,77,68,59,74,93,132,48,95,38,62,60,96,75,49,104,36
-1,61,0,129,25,70,83,58,105,113,88,153,106,48,77,82,113,152,92,40,162,93
-1,70,129,0,113,125,130,131,45,61,148,119,45,164,62,83,27,32,91,117,34,37
-1,43,25,113,0,49,62,40,97,108,70,157,85,52,70,83,101,139,95,18,146,78
-1,67,70,125,49,0,13,16,125,141,26,197,84,63,104,124,123,155,137,32,158,98
-1,77,83,130,62,13,0,27,135,151,19,208,88,71,114,136,131,161,149,45,163,107
-1,68,58,131,40,16,27,0,127,141,31,194,93,48,103,121,126,161,133,23,165,102
-1,59,105,45,97,125,135,127,0,19,151,82,69,148,28,40,19,52,46,107,67,31
-1,74,113,61,108,141,151,141,19,0,166,63,87,158,39,36,35,59,37,120,75,50
-1,93,88,148,70,26,19,31,151,166,0,222,106,66,129,149,148,179,162,53,181,124
-1,132,153,119,157,197,208,194,82,63,222,0,150,200,95,74,96,105,62,172,122,112
-1,48,106,45,85,84,88,93,69,87,106,150,0,132,66,93,56,76,106,83,76,40
-1,95,48,164,52,63,71,48,148,158,66,200,132,0,121,129,153,190,139,49,198,130
-1,38,77,62,70,104,114,103,28,39,129,95,66,121,0,28,39,77,41,82,90,29
-1,62,82,83,83,124,136,121,40,36,149,74,93,129,28,0,57,91,14,98,106,55
-1,60,113,27,101,123,131,126,19,35,148,96,56,153,39,57,0,39,65,109,51,25
-1,96,152,32,139,155,161,161,52,59,179,105,76,190,77,91,39,0,95,145,18,61
-1,75,92,91,95,137,149,133,46,37,162,62,106,139,41,14,65,95,0,111,111,67
-1,49,40,117,18,32,45,23,107,120,53,172,83,49,82,98,109,145,111,0,151,85
-1,104,162,34,146,158,163,165,67,75,181,122,76,198,90,106,51,18,111,151,0,69
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
