13,4,13,3,2,16,5,2,14,17,10,11,4,5,2,18,19,14,6,8,20,3,1,1,9,19,5,16,10,12,8,16,4,4,5,17,10,12,15,17,184
6,18,15,9,18,3,17,17,6,15,10,7,11,9,7,19,20,1,8,14,1,19,9,8,19,20,11,17,2,1,20,11,2,8,2,8,13,3,9,16,200
16,3,20,16,3,3,4,5,7,6,13,5,2,11,5,1,18,4,7,9,17,1,13,11,12,13,12,7,3,5,10,7,2,15,10,6,10,10,14,3,141
2,2,19,5,10,19,5,14,7,2,19,10,20,7,1,19,4,17,6,13,16,5,2,12,16,16,5,4,16,20,14,5,10,14,4,19,19,6,12,19,271
2,14,1,10,17,19,8,14,9,11,15,20,5,16,5,13,20,5,6,1,18,10,5,1,1,3,20,2,2,12,8,18,5,10,7,7,12,15,16,20,219
18,16,18,14,13,4,14,11,16,2,18,13,10,14,6,12,2,18,12,19,11,11,17,20,3,15,2,15,16,3,7,12,19,4,17,15,11,4,20,8,234
20,11,17,1,20,2,1,4,11,5,13,13,17,2,16,19,19,19,10,13,20,9,1,18,4,9,16,1,16,6,17,15,8,10,9,19,10,10,2,9,202
19,2,17,8,13,10,20,18,12,15,20,8,10,1,2,14,20,12,7,16,6,19,6,3,5,16,2,7,10,14,7,13,7,16,11,4,11,17,12,16,191
12,19,15,5,8,17,16,7,10,14,3,8,1,18,8,13,19,14,4,17,4,3,3,14,2,13,2,15,10,7,9,7,5,16,4,9,12,10,16,11,265
2,14,13,3,5,4,4,9,4,12,8,13,17,20,6,2,9,8,12,7,15,18,3,10,17,13,9,17,16,4,19,4,6,3,2,12,11,18,7,6,116
7,12,2,13,20,5,4,3,7,8,20,2,1,1,11,19,15,1,4,16,7,2,12,3,10,15,7,16,13,9,17,12,15,13,4,4,5,7,13,19,200
17,16,9,12,14,12,10,17,17,6,19,10,7,10,8,2,10,14,2,5,13,18,13,18,11,9,7,8,6,14,3,14,4,16,5,4,4,16,16,16,210
2,7,16,15,19,18,8,8,20,6,2,13,4,16,11,10,11,17,3,16,5,18,5,8,5,9,9,1,19,7,8,9,6,14,1,11,10,9,16,4,232
20,20,1,9,10,18,8,7,17,18,14,7,4,15,18,11,16,17,5,12,8,15,8,7,2,9,16,2,7,10,12,8,17,7,18,9,9,17,5,12,235
13,5,5,14,12,18,10,20,17,12,19,15,6,13,12,5,13,6,6,19,12,12,3,20,11,2,20,3,12,1,12,18,7,1,10,19,5,20,2,7,288
9,20,19,7,9,5,5,5,12,8,12,10,1,6,11,9,3,1,15,14,19,6,5,2,12,4,9,2,6,10,6,11,4,9,1,17,11,10,6,19,210
7,14,15,3,1,6,19,17,6,6,7,15,20,1,18,4,11,19,17,16,6,15,4,20,19,9,19,9,9,11,7,8,20,9,11,11,14,10,11,16,199
20,4,9,8,14,1,14,4,16,13,4,12,12,5,6,13,10,18,3,14,2,16,3,9,9,4,6,6,17,8,5,6,6,3,2,4,10,7,19,11,156
8,1,14,11,18,20,12,12,3,19,3,13,11,2,11,17,1,13,5,12,6,10,18,3,20,8,13,11,20,15,5,9,7,3,4,7,10,13,18,13,104
13,19,8,14,7,3,19,5,11,7,12,18,16,4,19,5,19,6,19,8,10,20,6,5,3,2,18,19,3,14,7,5,9,8,20,10,19,2,14,7,302
17,11,8,17,5,13,20,9,12,16,20,3,1,16,16,3,11,15,18,8,13,3,3,2,9,11,11,7,15,5,19,1,11,1,8,8,2,8,17,14,219
5,15,9,5,2,8,5,3,17,6,3,15,2,5,20,10,2,14,20,19,7,18,9,17,3,9,16,16,6,15,10,3,6,1,20,7,4,12,2,17,289
