20,11,17,12,9,2,3,18,19,6,4,8,17,7,8,20,8,8,3,6,20,13,13,6,15,19,7,4,4,3,2,15,18,19,10,19,15,9,3,3,305
13,19,20,2,6,3,19,8,3,17,6,11,15,13,13,14,7,2,8,4,12,17,1,8,11,1,11,20,13,4,6,14,11,3,2,4,20,3,8,1,190
20,6,12,5,13,2,10,12,1,3,12,6,8,15,8,13,3,20,13,16,10,19,19,18,15,10,16,12,16,4,3,5,18,9,3,12,1,11,15,1,218
10,18,11,20,6,16,15,2,18,4,3,19,6,15,3,2,20,13,14,9,19,1,10,13,6,2,16,20,12,19,13,12,3,3,10,2,10,6,16,4,212
15,19,3,13,20,1,11,3,6,3,17,11,15,6,2,4,9,20,18,10,11,16,9,1,20,18,1,16,6,2,16,19,12,9,19,16,20,13,17,17,256
15,12,10,13,14,17,10,4,3,3,17,6,8,20,10,9,12,18,18,14,10,20,4,20,2,16,20,8,11,3,16,19,5,18,12,14,17,15,5,19,167
2,15,7,11,4,12,14,1,12,4,13,4,20,19,20,20,12,6,3,4,10,6,17,5,4,17,16,11,12,2,5,10,20,8,12,2,3,17,18,5,208
6,7,2,15,5,16,20,17,6,19,16,15,17,14,19,4,6,1,2,9,8,9,1,13,2,14,4,3,16,9,2,15,7,6,2,12,17,19,1,19,142
15,12,1,1,17,2,18,19,2,9,18,1,17,8,12,2,6,13,17,3,17,6,2,4,5,15,5,1,15,5,19,3,1,11,2,19,13,19,1,10,200
3,3,1,5,11,18,17,2,1,19,6,15,11,16,15,10,13,2,16,15,19,1,4,6,18,17,20,20,19,1,16,5,6,14,14,6,1,14,6,13,246
14,7,11,6,9,14,4,15,18,2,8,3,19,8,9,12,18,16,5,7,19,2,20,11,13,1,15,14,8,19,20,10,16,16,16,17,15,1,13,15,270
13,1,4,14,14,11,10,17,9,10,4,13,3,10,20,4,11,4,12,11,9,14,2,17,9,20,14,11,8,14,2,19,5,11,14,7,6,7,7,15,132
14,17,16,15,1,20,10,8,1,9,14,15,15,14,12,15,5,14,20,16,6,11,1,2,17,17,13,4,4,7,11,20,11,20,4,11,17,20,4,3,236
2,13,20,14,9,16,13,7,2,17,3,3,5,18,14,6,14,4,12,1,8,16,15,13,13,13,8,16,5,9,15,2,20,20,9,2,1,9,8,7,223
7,6,4,20,17,6,1,5,14,13,13,2,2,15,12,7,11,1,18,3,16,4,20,15,6,10,15,12,17,15,19,4,19,14,10,16,17,13,11,10,265
2,19,16,4,12,10,16,19,5,17,2,10,9,17,9,11,14,17,1,8,6,15,3,5,8,3,15,8,18,1,11,6,1,10,9,13,20,2,19,13,196
6,10,1,3,2,3,5,4,5,8,15,15,3,19,9,1,3,20,8,15,18,18,11,12,16,8,6,17,5,14,9,13,6,2,19,11,1,17,17,7,161
15,13,8,4,17,6,13,16,7,7,18,2,8,3,14,18,6,13,20,13,12,17,19,18,14,8,9,5,6,1,14,4,4,5,12,15,17,3,5,5,230
17,16,5,10,3,17,4,15,4,14,2,14,13,15,1,16,11,18,16,13,2,14,15,13,1,12,8,4,18,13,15,19,11,9,15,15,15,8,16,16,251
18,20,4,18,15,3,18,13,12,10,18,20,10,17,17,7,2,11,18,2,5,8,11,18,8,4,8,18,15,7,8,4,12,10,5,7,14,5,1,16,183
16,18,13,20,3,16,17,9,9,4,19,13,17,11,9,14,14,18,5,4,14,5,16,14,1,3,3,17,4,14,15,12,4,7,11,5,19,6,19,15,178
12,16,12,12,16,10,1,10,19,5,5,9,4,2,16,20,10,5,18,20,2,4,9,10,18,8,4,20,17,14,2,5,11,7,18,2,13,19,11,7,218
14,2,4,20,1,11,15,14,12,14,11,12,11,16,3,19,14,19,1,20,1,11,13,4,11,12,15,3,4,13,19,15,17,8,12,15,1,18,4,16,187
13,6,1,10,3,6,3,6,8,17,5,7,10,7,9,7,16,2,1,11,1,12,15,9,13,3,20,5,4,11,8,14,1,13,1,17,18,13,16,18,180
17,4,6,10,18,2,18,18,11,19,19,2,17,4,2,10,7,5,20,8,20,20,11,12,18,8,1,18,6,16,19,17,9,18,18,19,3,9,19,11,282
7,18,11,7,4,2,20,16,15,16,1,15,2,11,2,6,15,14,3,7,14,11,4,13,20,5,11,3,3,19,13,14,15,1,7,8,14,1,5,19,171
2,11,1,2,9,16,12,3,13,18,16,14,18,6,15,20,16,15,13,20,4,11,10,8,16,4,7,7,20,9,9,6,20,7,9,8,2,7,6,12,175
20,12,4,1,15,5,1,9,19,14,6,18,12,1,14,2,5,5,14,15,9,13,17,3,5,3,8,12,1,5,9,2,19,18,11,20,5,6,19,17,212
5,18,1,8,13,10,17,18,6,2,10,7,19,6,13,19,11,10,2,20,1,19,10,17,15,9,14,8,18,20,9,19,1,3,16,13,3,7,6,14,155
1,14,10,6,16,20,16,10,1,5,3,12,9,12,4,17,13,7,12,6,14,8,3,9,11,9,13,19,8,3,12,10,11,17,1,5,8,9,2,8,124
8,15,17,16,12,17,2,9,4,4,5,15,14,13,13,20,9,15,8,9,18,10,4,6,19,12,17,11,19,11,20,17,7,5,7,4,18,9,18,13,228
15,17,20,20,8,6,20,3,12,15,10,16,8,6,2,9,17,20,9,9,6,5,5,14,14,19,16,7,3,2,3,13,9,2,15,8,10,16,12,18,139
16,14,19,14,2,11,17,3,3,6,16,10,9,16,16,9,5,14,8,20,7,6,9,3,11,5,20,20,16,2,8,6,10,7,6,7,20,4,8,20,242
1,3,7,9,19,5,18,9,9,6,18,6,8,4,14,16,10,6,18,19,15,18,7,12,5,15,7,19,4,3,4,11,8,17,19,2,1,13,8,11,204
20,4,2,5,3,3,17,20,18,4,17,13,17,2,3,4,19,15,10,6,17,10,19,7,7,7,18,9,3,10,10,15,18,7,18,11,4,10,17,13,173
