9,2,9,15,7,11,10,2,6,13,11,12,8,4,7,8,6,17,3,16,15,6,12,13,6,13,11,6,3,6,196
3,4,16,15,19,7,15,2,5,18,4,3,5,15,14,9,5,5,17,4,15,11,13,7,15,15,15,2,11,20,209
3,18,11,16,20,18,17,2,17,5,3,13,20,2,11,7,5,14,3,18,8,16,14,16,16,14,1,4,18,13,307
1,3,4,6,19,19,13,19,12,6,20,9,2,16,16,11,10,14,10,16,3,18,12,19,5,3,14,8,19,4,273
12,9,14,11,7,6,12,11,4,14,6,4,13,12,6,6,12,8,19,13,1,8,5,1,13,20,4,14,19,20,214
16,7,14,11,8,1,13,16,2,19,11,20,6,3,15,10,9,1,11,1,16,17,1,6,11,4,4,10,17,20,215
5,15,11,4,12,5,17,10,18,16,12,19,11,9,13,10,8,2,14,8,15,12,9,5,5,13,13,20,12,10,260
3,4,18,18,2,18,11,15,10,1,10,6,12,17,15,8,3,9,20,7,9,6,5,8,13,7,2,11,17,9,230
5,18,16,10,2,19,10,4,1,1,17,13,18,18,18,6,17,17,7,3,3,9,14,19,19,3,18,9,5,14,285
14,8,1,16,1,20,5,7,3,16,10,9,12,5,8,20,10,15,19,6,13,19,11,13,1,9,18,11,9,10,260
9,20,2,15,19,11,18,17,18,18,16,4,20,18,13,8,9,5,4,19,1,5,12,18,18,8,11,10,5,4,319
2,2,20,18,10,15,16,18,5,20,1,20,11,6,3,14,4,20,1,1,14,18,19,6,13,4,7,11,13,2,296
17,14,4,17,13,8,17,12,9,20,20,3,13,3,13,7,19,13,3,11,12,7,13,7,2,15,12,9,9,1,261
18,15,1,2,12,11,11,1,12,4,6,15,14,9,16,4,19,20,4,3,10,2,9,7,17,7,6,7,14,5,224
11,9,19,9,18,9,4,9,12,11,12,8,9,10,11,14,13,4,19,17,16,17,15,7,12,7,16,11,2,2,285
3,9,2,17,4,15,12,4,14,7,1,15,12,17,7,7,17,15,19,5,14,14,7,6,12,18,20,9,2,15,287
16,2,6,7,11,17,5,1,1,11,13,1,19,8,1,14,16,13,4,20,15,7,18,9,15,3,9,16,15,10,216
4,8,11,20,6,9,17,5,13,4,20,8,12,14,5,18,7,2,11,20,5,7,11,3,12,9,12,7,1,17,236
2,10,11,1,11,1,17,3,3,11,6,18,1,5,18,1,7,11,10,5,6,13,5,3,12,10,2,5,13,20,154
20,3,8,19,11,12,8,20,10,2,1,16,14,13,20,13,6,4,8,12,15,5,6,19,6,11,15,8,19,6,238
2,8,15,8,1,14,4,16,1,1,2,16,14,11,18,5,6,8,20,19,1,9,9,17,6,7,15,19,4,10,246
13,3,6,14,16,3,15,5,9,19,16,16,6,3,6,9,12,11,19,15,8,5,6,12,11,5,3,18,6,2,255
1,15,5,6,18,3,17,10,18,4,19,14,13,6,14,10,9,14,19,15,15,9,20,11,4,5,15,15,16,3,266
20,13,18,16,17,12,2,20,8,13,6,5,14,18,12,15,9,17,11,12,2,1,5,18,4,11,7,19,14,18,233
9,7,6,19,19,12,20,4,1,12,15,18,19,16,15,11,18,19,19,3,18,17,6,1,3,7,6,14,13,5,277
11,13,6,2,12,9,19,16,16,17,20,16,2,1,20,14,4,12,3,1,7,13,9,15,4,1,9,3,3,13,210
13,12,1,5,11,4,2,10,1,12,6,9,8,8,19,3,5,4,15,3,18,6,6,10,18,10,14,5,2,3,207
5,3,6,6,4,9,6,5,3,2,15,2,11,15,7,1,16,17,16,18,13,16,1,10,15,13,2,15,6,19,213
6,16,2,9,14,2,4,20,2,3,13,9,18,12,7,7,2,15,20,17,4,13,15,15,13,3,17,14,1,18,256
3,19,19,16,7,3,1,12,20,18,6,16,1,11,1,8,6,2,2,20,7,11,8,10,7,8,3,10,14,20,232
16,10,8,4,9,15,13,7,15,10,4,18,5,18,13,18,17,10,10,1,9,1,19,13,4,19,7,15,9,9,254
3,1,12,17,8,1,8,3,2,11,19,4,5,4,6,4,7,20,6,4,11,6,10,7,10,14,16,5,19,16,223
2,4,16,5,3,7,18,13,10,5,3,7,10,8,8,6,9,17,11,9,13,8,9,1,14,11,12,10,6,11,176
1,18,18,15,4,11,5,17,2,13,17,19,4,18,11,20,14,12,7,12,18,5,4,11,1,18,3,11,8,5,263
17,11,12,8,11,2,7,3,14,20,2,9,10,8,4,6,6,13,7,17,16,17,13,6,2,15,4,16,5,3,238
14,10,2,4,11,12,20,19,3,20,8,16,8,16,9,11,5,9,16,20,17,9,8,2,12,7,10,16,20,2,242
9,6,4,18,12,1,7,15,4,20,2,12,16,7,12,12,20,3,14,14,5,8,20,4,9,2,4,1,17,13,246
4,1,2,13,17,7,16,10,3,5,10,2,7,10,12,14,5,9,11,19,4,10,15,6,11,1,9,4,5,2,183
12,16,8,1,14,6,1,12,7,12,1,3,9,17,13,4,11,13,1,3,10,3,9,12,14,6,1,9,10,4,177
12,13,8,7,10,9,17,6,12,11,9,4,17,14,11,11,13,14,20,6,9,18,11,20,15,2,14,13,17,13,331
5,10,11,16,13,19,1,20,6,2,19,1,11,11,4,18,13,4,5,15,18,17,5,11,12,13,10,7,8,14,237
1,5,12,10,6,10,18,13,2,11,7,10,2,1,5,14,20,8,9,12,9,15,9,15,4,4,5,11,7,20,226
20,14,17,20,13,14,11,19,13,17,13,2,18,4,14,4,16,10,3,2,14,17,8,20,12,16,10,1,15,2,305
3,20,10,9,12,16,5,13,9,12,15,1,12,3,19,17,20,13,11,4,10,19,12,18,6,12,17,2,11,9,273
7,9,15,5,18,11,20,6,7,2,10,10,6,3,18,5,17,9,1,6,20,14,3,4,6,10,13,5,12,11,277
16,10,2,20,14,18,17,7,5,16,1,5,12,15,20,3,11,17,9,17,7,20,2,2,9,12,9,2,18,2,226
19,10,13,11,5,14,11,10,8,11,20,17,6,6,13,10,9,16,14,10,11,13,13,9,18,18,10,3,1,4,267
3,15,19,14,19,10,7,9,16,5,12,10,16,6,8,8,6,9,10,13,4,1,14,5,6,5,15,12,14,9,231
1,4,11,17,2,17,12,8,10,15,15,2,11,10,10,14,5,18,1,19,12,2,18,3,8,1,14,2,4,17,217
2,5,10,18,2,15,3,18,13,15,15,5,20,11,7,19,10,4,15,16,10,3,9,7,13,11,6,7,2,1,276
4,9,19,13,2,19,1,13,16,3,18,19,2,20,10,16,10,1,15,8,11,11,5,14,9,17,12,20,1,17,300
3,7,18,11,13,1,16,18,15,18,1,7,12,6,15,15,13,15,13,11,15,10,5,12,7,14,18,11,18,8,295
6,10,6,20,14,1,12,19,3,3,19,13,4,13,17,12,19,17,19,4,12,19,6,10,13,17,14,4,6,19,254
8,1,13,3,5,17,14,15,7,1,3,4,14,1,5,6,14,9,9,19,5,9,1,9,17,8,19,14,2,4,226
18,4,3,6,9,15,4,13,7,18,16,13,17,2,10,5,10,15,12,10,1,8,12,19,6,18,17,3,9,5,217
14,8,10,12,13,7,3,13,9,14,3,18,3,17,6,12,14,17,14,13,4,10,11,17,20,17,8,8,20,8,277
16,12,9,16,9,20,6,8,16,6,6,7,8,11,10,18,8,19,6,15,11,5,18,20,14,6,7,12,20,6,298
6,8,3,6,3,6,13,6,9,8,5,7,16,9,10,9,10,4,1,14,6,13,9,11,12,11,18,8,10,5,206
4,11,19,8,16,12,5,6,20,13,14,20,14,12,5,14,11,3,2,19,20,2,3,12,6,13,9,7,8,1,228
6,3,13,15,19,13,19,13,3,16,14,5,2,6,11,4,18,3,2,9,12,7,9,13,18,9,12,8,3,18,250
7,19,1,16,13,7,7,1,18,1,9,11,20,7,5,15,1,17,6,10,18,5,13,14,10,10,4,11,20,1,218
17,4,17,14,11,18,14,14,1,7,9,4,1,20,7,16,7,4,20,9,9,1,3,2,14,10,4,11,10,13,256
15,17,7,13,1,3,9,2,13,18,12,15,1,4,4,20,14,9,2,7,11,5,5,20,8,7,9,18,13,2,276
2,3,5,3,14,18,20,10,5,19,11,3,13,17,9,4,6,17,17,1,14,11,12,11,10,3,4,5,20,1,253
