20,20,20,19,19,19,19,19,19,14,14,14,14,14,14,14,14,18,18,18,112
16,16,16,14,14,14,14,14,14,2,2,2,2,2,2,2,2,13,13,13,125
1,1,1,8,8,8,8,8,8,11,11,11,11,11,11,11,11,1,1,1,63
7,7,7,8,8,8,8,8,8,1,1,1,1,1,1,1,1,10,10,10,38
2,2,2,13,13,13,13,13,13,5,5,5,5,5,5,5,5,9,9,9,65
8,8,8,2,2,2,2,2,2,3,3,3,3,3,3,3,3,20,20,20,45
18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,3,3,3,120
11,11,11,10,10,10,10,10,10,11,11,11,11,11,11,11,11,15,15,15,110
6,6,6,17,17,17,17,17,17,20,20,20,20,20,20,20,20,7,7,7,127
11,11,11,3,3,3,3,3,3,6,6,6,6,6,6,6,6,1,1,1,45
11,11,11,15,15,15,15,15,15,7,7,7,7,7,7,7,7,2,2,2,96
20,20,20,2,2,2,2,2,2,5,5,5,5,5,5,5,5,6,6,6,90
6,6,6,2,2,2,2,2,2,5,5,5,5,5,5,5,5,20,20,20,76
17,17,17,1,1,1,1,1,1,17,17,17,17,17,17,17,17,4,4,4,99
8,8,8,6,6,6,6,6,6,8,8,8,8,8,8,8,8,7,7,7,-1
