10,10,10,9,9,6,6,6,7,7,7,7,14,19,19,19,19,19,19,16,127
2,2,2,6,6,18,18,18,4,4,4,4,6,14,14,6,6,6,6,14,104
14,14,14,3,3,20,20,20,1,1,1,1,3,12,12,17,17,17,17,3,104
9,9,9,20,20,13,13,13,17,17,17,17,10,5,5,12,12,12,12,9,102
15,15,15,20,20,11,11,11,17,17,17,17,16,20,20,11,11,11,11,16,155
9,9,9,3,3,3,3,3,17,17,17,17,20,19,19,12,12,12,12,8,67
12,12,12,4,4,14,14,14,13,13,13,13,17,4,4,14,14,14,14,4,150
10,10,10,15,15,15,15,15,6,6,6,6,13,15,15,12,12,12,12,8,120
1,1,1,2,2,20,20,20,10,10,10,10,13,12,12,5,5,5,5,16,140
14,14,14,4,4,11,11,11,13,13,13,13,8,12,12,5,5,5,5,7,139
17,17,17,18,18,12,12,12,1,1,1,1,10,18,18,14,14,14,14,12,122
14,14,14,12,12,1,1,1,15,15,15,15,16,9,9,12,12,12,12,18,115
12,12,12,11,11,2,2,2,10,10,10,10,14,5,5,2,2,2,2,14,87
4,4,4,4,4,3,3,3,11,11,11,11,6,8,8,7,7,7,7,17,68
6,6,6,8,8,9,9,9,7,7,7,7,6,9,9,6,6,6,6,9,-1
