19,19,19,19,13,13,7,7,11,11,11,11,12,12,12,12,12,10,11,11,135
16,16,16,16,5,5,1,1,12,12,12,12,15,15,15,15,15,18,10,10,146
2,2,2,2,20,20,4,4,10,10,10,10,7,7,7,7,7,16,2,2,95
17,17,17,17,3,3,9,9,16,16,16,16,3,3,3,3,3,15,6,6,98
2,2,2,2,15,15,5,5,3,3,3,3,14,14,14,14,14,19,8,8,34
13,13,13,13,8,8,15,15,20,20,20,20,18,18,18,18,18,5,3,3,148
3,3,3,3,18,18,5,5,8,8,8,8,6,6,6,6,6,8,12,12,77
7,7,7,7,1,1,16,16,10,10,10,10,18,18,18,18,18,12,9,9,96
9,9,9,9,6,6,11,11,5,5,5,5,13,13,13,13,13,9,3,3,48
5,5,5,5,10,10,15,15,9,9,9,9,13,13,13,13,13,7,20,20,72
6,6,6,6,2,2,1,1,3,3,3,3,20,20,20,20,20,11,15,15,92
18,18,18,18,5,5,18,18,15,15,15,15,4,4,4,4,4,4,13,13,119
18,18,18,18,20,20,16,16,3,3,3,3,8,8,8,8,8,7,17,17,102
3,3,3,3,2,2,16,16,4,4,4,4,12,12,12,12,12,20,17,17,66
10,10,10,10,6,6,9,9,7,7,7,7,9,9,9,9,9,9,9,9,-1
